code,street,lat,lon,name
1012,Victoria St,1.296848255,103.8525359,Hotel Grand Pacific
1013,Victoria St,1.297709706,103.8532247,St. Joseph's Ch
1019,Victoria St,1.296989512,103.853022,Bras Basah Cplx
1029,Nth Bridge Rd,1.296672985,103.8544142,Opp Natl Lib
1039,Nth Bridge Rd,1.298207841,103.8554914,Bugis Cube
1059,Victoria St,1.300756795,103.8561104,Bugis Stn Exit B
1109,Queen St,1.303585776,103.8565037,Queen St Ter
1112,Victoria St,1.300092128,103.8552003,Opp Bugis Stn Exit C
1113,Victoria St,1.301172975,103.856114,Bugis Stn Exit A
1119,Victoria St,1.299604109,103.8551293,Aft Bugis Stn Exit C
1121,Victoria St,1.303938097,103.85868,Aft Victoria Ln
1129,Victoria St,1.303502692,103.8586453,Bef Jln Pisang
1139,Nth Bridge Rd,1.300330579,103.8571608,Bugis Stn/Parkview Sq
1211,Victoria St,1.305518035,103.860545,Opp Blk 461
1219,Victoria St,1.305265985,103.8607202,Blk 461
1229,Nth Bridge Rd,1.303375526,103.8596309,Bef Sultan Mque
1231,Jln Sultan,1.30325,103.8610831,Opp Textile Ctr
1239,Jln Sultan,1.302912366,103.8616182,Sultan Plaza
1311,Kallang Rd,1.307091646,103.862197,Lavender Stn Exit B
1319,Kallang Rd,1.307574267,103.863256,Lavender Stn Exit A/ICA
1329,Nth Bridge Rd,1.304956702,103.8636303,Blk 8
1339,Crawford St,1.307746017,103.8642627,Bef Crawford Bridge
1341,Crawford St,1.306475556,103.8645253,Southbank
1349,Crawford St,1.305686357,103.8654399,Opp Blk 4
1411,Beach Rd,1.302113329,103.862956,Opp St. John HQ
1419,Beach Rd,1.30202,103.8632633,St. John HQ
1421,Beach Rd,1.303384444,103.8648389,Opp Golden Mile Cplx
1429,Beach Rd,1.303213609,103.8650158,Golden Mile Cplx
1511,Beach Rd,1.299198261,103.8586452,Opp The Gateway
1519,Beach Rd,1.299074925,103.8589103,The Gateway
1521,Beach Rd,1.300883044,103.860661,Opp Plaza Parkroyal
1529,Beach Rd,1.300416677,103.8604412,Plaza Parkroyal
1541,Rochor Rd,1.298864654,103.8573458,Bugis Stn Exit D
1549,Ophir Rd,1.300698689,103.8587312,Opp Duo Residences
1559,Ophir Rd,1.301687311,103.8575292,Village Hotel Bugis
1611,Beach Rd,1.295272592,103.8553369,Aft Raffles Hotel
1619,Beach Rd,1.294286942,103.8550381,Esplanade Stn Exit F
1621,Beach Rd,1.296958889,103.8565561,Opp Shaw Twrs
1629,Beach Rd,1.297085,103.856894,Shaw Twrs
1631,Middle Rd,1.296936146,103.8558056,Aft Beach Rd
1639,Middle Rd,1.2973875,103.8555758,Bef Beach Rd
2029,Esplanade Dr,1.290106,103.85464,Aft Esplanade Stn Exit D
2049,Bras Basah Rd,1.294520912,103.8540216,Raffles Hotel
2051,Raffles Ave,1.289503056,103.8590339,The Float @ Marina Bay
2061,Raffles Ave,1.289963889,103.8564039,The Esplanade
2089,Raffles Blvd,1.291526944,103.8592061,Promenade Stn/Pan Pacific
2101,Raffles Ave,1.289384838,103.8618315,Aft S'pore Flyer
2111,Esplanade Dr,1.290955923,103.8545342,Esplanade Bridge
2119,Nicoll Highway,1.291844074,103.8553433,Opp War Memorial Pk
2141,Temasek Blvd,1.295765716,103.8593381,Suntec Twr Two
2149,Temasek Blvd,1.295604598,103.8595553,Suntec Twr Three
2151,Temasek Blvd,1.293177763,103.8578462,Suntec Convention Ctr
2159,Temasek Blvd,1.293608112,103.8584067,Opp Suntec Convention Ctr
2161,Temasek Ave,1.292685535,103.8609316,Aft Promenade Stn Exit C
2169,Temasek Ave,1.293338368,103.8607085,Promenade Stn Exit B
2171,Temasek Ave,1.2907,103.8609219,Opp The Ritz-Carlton
2181,Parliament Pl,1.289474444,103.8509817,Supreme Ct
3011,Fullerton Rd,1.285618409,103.8534222,Fullerton Sq
3019,Collyer Quay,1.284245,103.8531081,OUE Bayfront
3021,Cecil St,1.282555246,103.849989,Prudential Twr
3031,Robinson Rd,1.282074922,103.8508607,Raffles Pl Stn Exit F
3041,Cross St,1.281795094,103.8489321,Telok Ayer Stn Exit A
3059,Raffles Quay,1.281111,103.851461,One Raffles Quay
3071,Robinson Rd,1.279906096,103.8494003,80 Robinson Rd
3111,Robinson Rd,1.277825954,103.8481012,Aft Capital Twr
3129,Shenton Way,1.278070035,103.8495672,UIC Bldg
3151,Cecil St,1.278921246,103.8477623,Aft Telok Ayer St
3217,Shenton Way,1.275522189,103.8479444,Aft Straits Blvd
3218,Shenton Way,1.274078889,103.8468739,Opp MAS Bldg
3222,Anson Rd,1.273978369,103.8448956,Hub Synergy Pt
3223,Anson Rd,1.275703395,103.8463247,Tanjong Pagar Stn Exit C
3239,Shenton Way,1.27464227,103.8475672,Shenton Way Ter
3241,Anson Rd,1.27456,103.84537,Aft Enggor St
3331,Marina Blvd,1.276633072,103.8607681,Bef Marina Gdns Dr
3339,Central Blvd,1.274985164,103.8595002,Aft Marina Gdns Dr
3341,Marina Gdns Dr,1.2795978,103.8643377,Bef Gdns by the Bay
3349,Marina Gdns Dr,1.279656006,103.8647781,Aft Gdns by the Bay
3361,Marina Gdns Dr,1.279917,103.868895,Gardens by the Bay Stn Exit 2
3369,Marina Gdns Dr,1.279607721,103.8698745,Gardens by the Bay Stn Exit 1
3371,Marina Gdns Dr,1.280664793,103.8662696,Gdns by the Bay
3381,Marina Blvd,1.281626013,103.8530651,The Sail
3391,Marina Blvd,1.280376603,103.8549801,Marina Bay Financial Ctr
3411,Marina Coastal Dr,1.271592999,103.863009,Opp Marina Sth Pier Stn
3419,Marina Coastal Dr,1.271276985,103.8629769,Marina Sth Pier Stn
3421,Marina Coastal Dr,1.266940903,103.8596478,Marina Bay Cruise Ctr
3501,Bayfront Ave,1.285004677,103.8606111,Marina Bay Sands Theatre
3509,Bayfront Ave,1.28315,103.8600439,Bayfront Stn Exit B/MBS
3511,Bayfront Ave,1.281947795,103.8589706,Aft Bayfront Stn Exit E
3519,Bayfront Ave,1.281245,103.858848,Bayfront Stn Exit A
3529,Central Blvd,1.279399574,103.8527877,Downtown Stn Exit E
3539,Central Blvd,1.277533055,103.8556161,Marina Bay Stn
3549,Park Street,1.277728,103.85045,Shenton Way Stn Exit 3
3579,Straits view,1.278832,103.852918,Opp Downtown Stn
4019,Bencoolen St,1.298072169,103.8497561,OPP BENCOOLEN STN EXIT B
4029,Bencoolen St,1.299481667,103.8509267,BEF BENCOOLEN STN EXIT A
4111,Stamford Rd,1.293954442,103.851391,Capitol Bldg
4121,Stamford Rd,1.296185441,103.8495803,SMU
4142,Hill St,1.293098264,103.8496599,Armenian Ch
4143,Hill St,1.294116408,103.8502061,Stamford Ct
4149,Hill St,1.292761324,103.8498374,Grand Pk City Hall
4151,Victoria St,1.295337778,103.8511397,Cath Of The Good Shepherd
